algorithm,run,seed,best_fitness,error,generations,converged
RCGA,1,5000,1.2413778449626989e-08,1.2413778449626989e-08,100000,False
RCGA,2,5001,2.4740671733525232e-09,2.4740671733525232e-09,43703,True
RCGA,3,5002,9.266315714739903e-09,9.266315714739903e-09,62780,True
RCGA,4,5003,2.4088535610644612e-09,2.4088535610644612e-09,31659,True
RCGA,5,5004,8.462450296065072e-09,8.462450296065072e-09,95156,True
RCGA,6,5005,4.1879104628606e-09,4.1879104628606e-09,63749,True
RCGA,7,5006,1.3555464306591603e-08,1.3555464306591603e-08,100000,False
RCGA,8,5007,4.827668931284279e-08,4.827668931284279e-08,100000,False
RCGA,9,5008,4.492255811783252e-08,4.492255811783252e-08,100000,False
RCGA,10,5009,1.0577892339824757e-08,1.0577892339824757e-08,100000,False
RCGA,11,5010,4.188251523373765e-09,4.188251523373765e-09,96773,True
RCGA,12,5011,1.0664450655895052e-08,1.0664450655895052e-08,100000,False
RCGA,13,5012,9.70254632193246e-09,9.70254632193246e-09,94920,True
RCGA,14,5013,8.086232128334814e-09,8.086232128334814e-09,47626,True
RCGA,15,5014,9.321610150436754e-09,9.321610150436754e-09,59421,True
RCGA,16,5015,6.46721787234128e-09,6.46721787234128e-09,50677,True
RCGA,17,5016,9.997449978982331e-09,9.997449978982331e-09,36346,True
RCGA,18,5017,8.481435997964581e-09,8.481435997964581e-09,29374,True
RCGA,19,5018,6.203492830536561e-09,6.203492830536561e-09,18012,True
RCGA,20,5019,3.166363171658304e-09,3.166363171658304e-09,34556,True
RCGA,21,5020,9.011912993628357e-09,9.011912993628357e-09,36206,True
PSO,1,5000,2.9848771712798623,2.9848771712798623,100000,False
PSO,2,5001,3.979836228373159,3.979836228373159,100000,False
PSO,3,5002,2.9848771712798623,2.9848771712798623,100000,False
PSO,4,5003,2.9848771712798623,2.9848771712798623,100000,False
PSO,5,5004,2.9848771712798623,2.9848771712798623,100000,False
PSO,6,5005,4.974795285466456,4.974795285466456,100000,False
PSO,7,5006,7.959667418927268,7.959667418927268,100000,False
PSO,8,5007,2.9848771712798623,2.9848771712798623,100000,False
PSO,9,5008,5.969754342559753,5.969754342559753,100000,False
PSO,10,5009,3.979836228373159,3.979836228373159,100000,False
PSO,11,5010,1.9899181141865796,1.9899181141865796,100000,False
PSO,12,5011,4.974795285466456,4.974795285466456,100000,False
PSO,13,5012,2.9848771712798623,2.9848771712798623,100000,False
PSO,14,5013,2.9848771712798623,2.9848771712798623,100000,False
PSO,15,5014,2.9848771712798907,2.9848771712798907,100000,False
PSO,16,5015,2.9848771712798623,2.9848771712798623,100000,False
PSO,17,5016,3.979836228373159,3.979836228373159,100000,False
PSO,18,5017,2.9848771712798623,2.9848771712798623,100000,False
PSO,19,5018,6.96471339965305,6.96471339965305,100000,False
PSO,20,5019,2.9848771712798623,2.9848771712798623,100000,False
PSO,21,5020,0.9949590570932969,0.9949590570932969,100000,False
