run,seed,checkpoint_generation,recorded_generation,best_fitness,error,converged
1,1,1,1,116.1683183669523,116.1683183669523,True
1,1,50,50,14.21820724581826,14.21820724581826,True
1,1,100,100,4.790851817217401,4.790851817217401,True
1,1,200,200,1.139045009569742,1.139045009569742,True
1,1,500,500,0.01297102922424642,0.01297102922424642,True
1,1,1000,1000,0.006035208381348411,0.006035208381348411,True
1,1,5000,5000,1.214033459007169e-05,1.214033459007169e-05,True
1,1,10000,7747,2.507889007574704e-09,2.507889007574704e-09,True
1,1,50000,7747,2.507889007574704e-09,2.507889007574704e-09,True
1,1,100000,7747,2.507889007574704e-09,2.507889007574704e-09,True
2,2,1,1,124.0841884328642,124.0841884328642,False
2,2,50,50,10.13855917214973,10.13855917214973,False
2,2,100,100,2.379662552259944,2.379662552259944,False
2,2,200,200,0.2585226431670122,0.2585226431670122,False
2,2,500,500,0.005558794817233093,0.005558794817233093,False
2,2,1000,1000,0.001256371375845333,0.001256371375845333,False
2,2,5000,5000,2.851331811370983e-05,2.851331811370983e-05,False
2,2,10000,10000,2.347499332699954e-06,2.347499332699954e-06,False
2,2,50000,50000,1.112123015900579e-07,1.112123015900579e-07,False
2,2,100000,100000,1.094136194979001e-07,1.094136194979001e-07,False
3,3,1,1,107.8547686072131,107.8547686072131,True
3,3,50,50,11.21723126671677,11.21723126671677,True
3,3,100,100,8.187695938085568,8.187695938085568,True
3,3,200,200,4.651506245448473,4.651506245448473,True
3,3,500,500,0.003165878236870867,0.003165878236870867,True
3,3,1000,1000,0.0006936369852184043,0.0006936369852184043,True
3,3,5000,5000,4.611570901147388e-06,4.611570901147388e-06,True
3,3,10000,10000,8.571619503072725e-08,8.571619503072725e-08,True
3,3,50000,18397,7.79083109136991e-09,7.79083109136991e-09,True
3,3,100000,18397,7.79083109136991e-09,7.79083109136991e-09,True
4,4,1,1,139.0816300283894,139.0816300283894,False
4,4,50,50,19.02389331861481,19.02389331861481,False
4,4,100,100,13.12976963020529,13.12976963020529,False
4,4,200,200,6.240108762955913,6.240108762955913,False
4,4,500,500,1.011627905451817,1.011627905451817,False
4,4,1000,1000,0.0002776103353596682,0.0002776103353596682,False
4,4,5000,5000,1.719557167234598e-05,1.719557167234598e-05,False
4,4,10000,10000,5.064234883889185e-06,5.064234883889185e-06,False
4,4,50000,50000,1.215940415022487e-08,1.215940415022487e-08,False
4,4,100000,100000,1.215940415022487e-08,1.215940415022487e-08,False
5,5,1,1,101.2600955750358,101.2600955750358,False
5,5,50,50,13.2441519864072,13.2441519864072,False
5,5,100,100,4.136378888343387,4.136378888343387,False
5,5,200,200,2.06016424764718,2.06016424764718,False
5,5,500,500,0.01154749435877989,0.01154749435877989,False
5,5,1000,1000,0.002247780487039108,0.002247780487039108,False
5,5,5000,5000,2.839468184845373e-05,2.839468184845373e-05,False
5,5,10000,10000,1.174196127351479e-05,1.174196127351479e-05,False
5,5,50000,50000,3.066117386651968e-07,3.066117386651968e-07,False
5,5,100000,100000,2.595692478735145e-07,2.595692478735145e-07,False
6,6,1,1,122.2542007339488,122.2542007339488,True
6,6,50,50,20.26122476727315,20.26122476727315,True
6,6,100,100,7.531201976324667,7.531201976324667,True
6,6,200,200,1.151911564995544,1.151911564995544,True
6,6,500,500,0.002250905662691594,0.002250905662691594,True
6,6,1000,1000,0.001074701467658201,0.001074701467658201,True
6,6,5000,5000,0.0002341880438052613,0.0002341880438052613,True
6,6,10000,10000,6.176698548188142e-06,6.176698548188142e-06,True
6,6,50000,50000,7.863283855158443e-07,7.863283855158443e-07,True
6,6,100000,78210,8.749552193876298e-09,8.749552193876298e-09,True
7,7,1,1,114.361464393449,114.361464393449,False
7,7,50,50,5.217915230054928,5.217915230054928,False
7,7,100,100,3.002216982478814,3.002216982478814,False
7,7,200,200,0.1806393277054639,0.1806393277054639,False
7,7,500,500,0.00298706579285124,0.00298706579285124,False
7,7,1000,1000,0.0003264497076997941,0.0003264497076997941,False
7,7,5000,5000,2.650066497267289e-05,2.650066497267289e-05,False
7,7,10000,10000,2.650066497267289e-05,2.650066497267289e-05,False
7,7,50000,50000,7.41011518812229e-08,7.41011518812229e-08,False
7,7,100000,100000,3.065891007736354e-08,3.065891007736354e-08,False
8,8,1,1,105.6671423031145,105.6671423031145,False
8,8,50,50,15.09378277500126,15.09378277500126,False
8,8,100,100,5.278631300366442,5.278631300366442,False
8,8,200,200,4.008007702011895,4.008007702011895,False
8,8,500,500,0.08730996073983022,0.08730996073983022,False
8,8,1000,1000,0.003618719159135253,0.003618719159135253,False
