run,seed,best_fitness,error,generations,converged,best_individual
1,1,2.507889007574704e-09,2.507889007574704e-09,7747,True,"[5.662589804500947e-08, 7.798579306572855e-07, -5.131097090938603e-07, 3.1834696908846924e-09, -1.720665760081747e-06, 1.0248194211090817e-06, -1.8172982131313107e-08, 2.4222703176584566e-06, -3.958423625929946e-09, 1.373929692509324e-06]"
2,2,1.094136194979001e-07,1.094136194979001e-07,100000,False,"[1.0273995827657853e-09, -2.3738958671881262e-08, 1.5294494393848534e-09, -9.849194225222158e-06, 2.3519112483166125e-06, 7.17047847457389e-08, -1.5345498156186952e-06, 5.645089631454766e-07, -4.801078020153096e-07, 2.111999263054154e-05]"
3,3,7.79083109136991e-09,7.79083109136991e-09,18397,True,"[2.1100052305504514e-06, -1.1142903442588933e-06, 8.46417831250447e-07, -2.375325160900628e-06, -8.54123462248072e-07, -2.9798212697643937e-07, -1.183144086504938e-06, 2.2236549726627623e-06, -1.0270188210734048e-06, -4.35889662657605e-06]"
4,4,1.215940415022487e-08,1.215940415022487e-08,100000,False,"[3.27624046244127e-09, 2.993967305587946e-07, 5.470980361271853e-07, -5.694590390303115e-08, -1.434293125069588e-06, 8.524584333265814e-07, 6.765322486574382e-06, 1.8794927606846396e-09, 8.639346292573499e-07, -3.4055439592487987e-06]"
5,5,2.595692478735145e-07,2.595692478735145e-07,100000,False,"[5.417821497835793e-09, 1.6683614056760938e-07, 3.2830393078454994e-05, 2.565494202476243e-07, 2.1107184961584245e-06, -2.2001705721305004e-08, -1.5031762665582042e-05, -1.6292661628760466e-07, -1.6715777172250146e-08, -1.4621140145967349e-08]"
6,6,8.749552193876298e-09,8.749552193876298e-09,78210,True,"[6.743289843408438e-09, -5.063839360926596e-06, 9.670287027698407e-07, 1.4601045615762921e-07, 1.3804779234081756e-10, 1.685911903906663e-08, 1.2034646799734364e-06, -6.10110341178022e-08, -4.006347274970826e-06, -1.4390244658863304e-08]"
7,7,3.065891007736354e-08,3.065891007736354e-08,100000,False,"[1.043907917807363e-06, -4.754540402289806e-07, -3.812352578722358e-09, -8.225139988777592e-06, 6.392779118858344e-06, -1.6907640247964006e-09, 8.493039921772479e-09, -4.193073748212384e-06, 4.980808447874897e-06, -1.5199372237138117e-06]"
8,8,1.694429840881639e-08,1.694429840881639e-08,100000,False,"[5.430095717222838e-06, 8.643711637178753e-09, -4.2279080626982304e-07, -6.357728615048904e-06, 9.103789240513186e-08, 4.959295465999831e-09, 3.724372973024412e-06, 7.42706557308118e-07, 3.225664761118088e-07, 8.875559183700739e-07]"
9,9,4.463531411147414e-08,4.463531411147414e-08,100000,False,"[-1.270856403682227e-05, 5.068381758443498e-08, -4.599418588087899e-06, -5.238697826923308e-06, -3.4704545965996524e-09, 3.6114732515366035e-06, 1.9692470871591876e-09, -1.105542577001266e-06, 6.059407138289985e-08, 7.79688050028388e-07]"
10,10,1.043661086441716e-07,1.043661086441716e-07,100000,False,"[-5.051233160217178e-07, 1.512521882149103e-09, -2.5802948375310194e-09, 2.0190347053508738e-08, -3.6101120318771536e-07, 2.1583481820906046e-07, 6.313140246248026e-09, 3.6547426583968183e-07, -3.66512208185135e-06, 2.2628756495777114e-05]"
