rank,cxpb,mutpb,eta_c,eta_m,runs,best_error,median_error,mean_error,std_error,worst_error,best_fitness,mean_generations,converged_runs
1,0.8,0.4,1.0,50.0,3,6.202753866091371e-10,4.418183152665733e-09,5.002931402486865e-09,4.702377558643147e-09,9.970335668185726e-09,6.202753866091371e-10,71306.66666666667,3
2,0.6,0.4,1.0,50.0,3,9.462112871005957e-09,9.760199759512034e-09,3.013644326680757e-08,3.5551152263724245e-08,7.118701716990472e-08,9.462112871005957e-09,81916.33333333333,2
3,0.8,0.4,5.0,50.0,3,1.3638924656333984e-08,1.6268899116766988e-08,2.589834480204445e-08,1.9001869038094e-08,4.778721063303237e-08,1.3638924656333984e-08,100000.0,0
4,0.8,0.4,1.0,20.0,3,1.3678103982783796e-08,1.7465794144300162e-08,3.3274157355360025e-08,3.071955703474005e-08,6.867857393899612e-08,1.3678103982783796e-08,100000.0,0
5,0.8,0.2,1.0,20.0,3,5.877268449694384e-09,1.858818166056153e-08,6.572474357350681e-08,9.286861668063817e-08,1.727087806102645e-07,5.877268449694384e-09,75354.66666666667,1
6,0.6,0.4,5.0,50.0,3,7.926018952275626e-09,1.9852052446367452e-08,5.2629521481624884e-08,6.736492622034178e-08,1.3011049304623157e-07,7.926018952275626e-09,98279.66666666667,1
7,0.8,0.2,1.0,50.0,3,7.982080774127098e-09,2.2410418409890553e-08,3.174470464273327e-08,2.955669679498098e-08,6.484161474418215e-08,7.982080774127098e-09,83172.66666666667,1
8,0.6,0.2,1.0,50.0,3,1.995175580304931e-08,3.0860491051498684e-08,3.0130204701587594e-08,9.833664517317625e-09,3.9578367250214797e-08,1.995175580304931e-08,100000.0,0
9,0.6,0.4,1.0,20.0,3,5.0572779741742124e-08,1.0026401753293612e-07,1.3256269918808053e-07,1.0204762630559147e-07,2.4685130028956337e-07,5.0572779741742124e-08,100000.0,0
10,0.8,0.2,5.0,50.0,3,8.963176867382572e-08,1.284961115288752e-07,1.292989442921074e-07,4.007462376852165e-08,1.6976895267362124e-07,8.963176867382572e-08,100000.0,0
11,0.6,0.4,5.0,20.0,3,4.558388866371388e-08,1.7773776050944434e-07,1.738337923976966e-07,1.2634316459659066e-07,2.9817972801993164e-07,4.558388866371388e-08,100000.0,0
12,0.6,0.2,5.0,50.0,3,4.3652576664499065e-08,1.8164114123919717e-07,2.2493610648173976e-07,2.0636578282465877e-07,4.49514601541523e-07,4.3652576664499065e-08,100000.0,0
13,0.6,0.2,1.0,20.0,3,1.1355591311712487e-07,1.9730865119527152e-07,1.9778131843395386e-07,8.446273086314847e-08,2.8247939098946517e-07,1.1355591311712487e-07,100000.0,0
14,0.8,0.4,5.0,20.0,3,2.056035839359538e-07,2.2138711130992306e-07,3.811801292386008e-07,2.905457586862495e-07,7.165496924699255e-07,2.056035839359538e-07,100000.0,0
15,0.6,0.2,5.0,20.0,3,4.7495235833139304e-07,5.856175988583345e-07,5.874029843274305e-07,1.1335386452088005e-07,7.016389957925639e-07,4.7495235833139304e-07,100000.0,0
16,0.8,0.2,5.0,20.0,3,5.880327762497473e-07,1.2504684860914494e-06,1.494695562579788e-06,1.0502932327078713e-06,2.645585425398167e-06,5.880327762497473e-07,100000.0,0
